trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2535,False,"{'a': 0.6, 'e': 0.6788155000000001}",25,0,-62.25823699065742,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
2536,False,"{'a': 0.6, 'e': 0.6785620000000001}",30,17,-36.2147994898378,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 1}",1
2537,False,"{'a': 0.6, 'e': 0.6783084000000001}",20,14,6.935543438855179,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2538,False,"{'a': 0.6, 'e': 0.6780547000000001}",25,8,-35.00933188478743,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 0}",1
2539,False,"{'a': 0.6, 'e': 0.6778009000000002}",20,0,-117.37891864035075,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
2540,False,"{'a': 0.6, 'e': 0.6775470000000001}",30,0,-207.7961710737198,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
2541,False,"{'a': 0.6, 'e': 0.6772930000000001}",30,8,-98.47583458252585,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 2}",1
2542,False,"{'a': 0.6, 'e': 0.6770389000000001}",25,0,-83.82708326021606,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
2543,False,"{'a': 0.6, 'e': 0.6767847000000001}",30,0,-110.8847262802487,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
2544,False,"{'a': 0.6, 'e': 0.6765304000000001}",30,0,-103.66183618656962,"{0: 22, 1: 2, 2: 2, 3: 3, 4: 1}",0
2545,False,"{'a': 0.6, 'e': 0.6762760000000001}",20,0,-18.67429582282937,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
2546,False,"{'a': 0.6, 'e': 0.6760215}",25,4,-29.868563201026898,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 0}",1
2547,False,"{'a': 0.6, 'e': 0.6757669000000001}",20,7,-42.5879140412001,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
2548,False,"{'a': 0.6, 'e': 0.6755122}",20,10,-8.857544345982802,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
2549,False,"{'a': 0.6, 'e': 0.6752574}",25,0,-102.88031116647133,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
2550,False,"{'a': 0.6, 'e': 0.6750025000000001}",30,1,-34.57460580028321,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 0}",1
2551,False,"{'a': 0.6, 'e': 0.6747475000000001}",20,0,-80.57053978991642,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2552,False,"{'a': 0.6, 'e': 0.6744924000000001}",20,0,-36.328155012383945,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
2553,False,"{'a': 0.6, 'e': 0.6742372000000001}",20,0,4.5744656364799035,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
2554,False,"{'a': 0.6, 'e': 0.6739819000000001}",25,0,-22.724499781141734,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
2555,False,"{'a': 0.6, 'e': 0.6737265000000001}",20,7,0.3695889722547985,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
2556,False,"{'a': 0.6, 'e': 0.6734710000000002}",30,0,-117.40473369354021,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
2557,False,"{'a': 0.6, 'e': 0.6732154000000001}",25,0,-38.03984760649999,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
2558,False,"{'a': 0.6, 'e': 0.6729597000000002}",20,0,-73.52468170368965,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2559,False,"{'a': 0.6, 'e': 0.6727039000000001}",20,8,-56.69564970759739,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
2560,False,"{'a': 0.6, 'e': 0.6724480000000002}",20,8,-58.13422210501443,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
2561,False,"{'a': 0.6, 'e': 0.6721920000000001}",25,0,-36.43084661721119,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
2562,False,"{'a': 0.6, 'e': 0.6719359000000001}",25,0,-67.16186790338787,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
2563,False,"{'a': 0.6, 'e': 0.6716797000000001}",25,0,-63.51985415896334,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
2564,False,"{'a': 0.6, 'e': 0.6714234000000001}",20,6,-46.01048907110736,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
2565,False,"{'a': 0.6, 'e': 0.6711670000000001}",20,0,-88.11199967952005,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
2566,False,"{'a': 0.6, 'e': 0.6709105000000001}",20,0,-21.707638096043553,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
2567,False,"{'a': 0.6, 'e': 0.6706539}",30,0,-59.056779088560376,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
2568,False,"{'a': 0.6, 'e': 0.6703972}",25,14,-3.355392561389987,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
2569,False,"{'a': 0.6, 'e': 0.6701404000000001}",20,14,-6.848370317094176,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
2570,False,"{'a': 0.6, 'e': 0.6698835000000001}",25,10,-73.24319620183647,"{0: 9, 1: 0, 2: 3, 3: 3, 4: 0}",1
2571,False,"{'a': 0.6, 'e': 0.6696265000000001}",20,0,2.276030866715348,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
